location_name,location_id,latitude,longitude,parameter,value,unit,datetimeUtc,timezone,isMobile,isMonitor,owner_name,provider
Belgrade Monitoring Station,42602,44.8125,20.4612,pm25,16.959890552252165,µg/m³,2025-10-09T19:36:24Z,+01:00,False,True,Belgrade Environmental Agency,OpenAQ
Belgrade Monitoring Station,77472,44.8125,20.4612,pm25,13.799131495264142,µg/m³,2025-10-09T20:36:24Z,+01:00,False,True,Belgrade Environmental Agency,OpenAQ
Belgrade Monitoring Station,32321,44.8125,20.4612,pm25,9.775065002951811,µg/m³,2025-10-09T21:36:24Z,+01:00,False,True,Belgrade Environmental Agency,OpenAQ
Belgrade Monitoring Station,88778,44.8125,20.4612,pm25,5.999894580958028,µg/m³,2025-10-09T22:36:24Z,+01:00,False,True,Belgrade Environmental Agency,OpenAQ
Belgrade Monitoring Station,20634,44.8125,20.4612,pm25,7.275834771783449,µg/m³,2025-10-09T23:36:24Z,+01:00,False,True,Belgrade Environmental Agency,OpenAQ
Belgrade Monitoring Station,10767,44.8125,20.4612,pm25,15.010307578198065,µg/m³,2025-10-10T00:36:24Z,+01:00,False,True,Belgrade Environmental Agency,OpenAQ
Belgrade Monitoring Station,75078,44.8125,20.4612,pm25,22.468430937031094,µg/m³,2025-10-10T01:36:24Z,+01:00,False,True,Belgrade Environmental Agency,OpenAQ
Belgrade Monitoring Station,56060,44.8125,20.4612,pm25,33.25971596620515,µg/m³,2025-10-10T02:36:24Z,+01:00,False,True,Belgrade Environmental Agency,OpenAQ
Belgrade Monitoring Station,33436,44.8125,20.4612,pm25,29.118591275522235,µg/m³,2025-10-10T03:36:24Z,+01:00,False,True,Belgrade Environmental Agency,OpenAQ
Belgrade Monitoring Station,73426,44.8125,20.4612,pm25,38.06048848833235,µg/m³,2025-10-10T04:36:24Z,+01:00,False,True,Belgrade Environmental Agency,OpenAQ
Belgrade Monitoring Station,74646,44.8125,20.4612,pm25,23.90039829059615,µg/m³,2025-10-10T05:36:24Z,+01:00,False,True,Belgrade Environmental Agency,OpenAQ
Belgrade Monitoring Station,61928,44.8125,20.4612,pm25,26.67493482448959,µg/m³,2025-10-10T06:36:24Z,+01:00,False,True,Belgrade Environmental Agency,OpenAQ
Belgrade Monitoring Station,61936,44.8125,20.4612,pm25,34.57725136230408,µg/m³,2025-10-10T07:36:24Z,+01:00,False,True,Belgrade Environmental Agency,OpenAQ
Belgrade Monitoring Station,52635,44.8125,20.4612,pm25,23.39687963008302,µg/m³,2025-10-10T08:36:24Z,+01:00,False,True,Belgrade Environmental Agency,OpenAQ
Belgrade Monitoring Station,15659,44.8125,20.4612,pm25,34.46885394651165,µg/m³,2025-10-10T09:36:24Z,+01:00,False,True,Belgrade Environmental Agency,OpenAQ
Belgrade Monitoring Station,61292,44.8125,20.4612,pm25,31.40659037340041,µg/m³,2025-10-10T10:36:24Z,+01:00,False,True,Belgrade Environmental Agency,OpenAQ
Belgrade Monitoring Station,18579,44.8125,20.4612,pm25,31.062130286939745,µg/m³,2025-10-10T11:36:24Z,+01:00,False,True,Belgrade Environmental Agency,OpenAQ
Belgrade Monitoring Station,89670,44.8125,20.4612,pm25,36.184641233976855,µg/m³,2025-10-10T12:36:24Z,+01:00,False,True,Belgrade Environmental Agency,OpenAQ
Belgrade Monitoring Station,12298,44.8125,20.4612,pm25,31.114847568615748,µg/m³,2025-10-10T13:36:24Z,+01:00,False,True,Belgrade Environmental Agency,OpenAQ
Belgrade Monitoring Station,85116,44.8125,20.4612,pm25,35.220452005312104,µg/m³,2025-10-10T14:36:24Z,+01:00,False,True,Belgrade Environmental Agency,OpenAQ
