location_name,location_id,latitude,longitude,parameter,value,unit,datetimeUtc,timezone,isMobile,isMonitor,owner_name,provider
Beograd Monitoring Station,65408,44.8125,20.4612,pm25,28.72756425127347,µg/m³,2025-10-14T20:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,34964,44.8125,20.4612,pm25,23.432584542694556,µg/m³,2025-10-14T21:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,26487,44.8125,20.4612,pm25,26.540070764402397,µg/m³,2025-10-14T22:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,61237,44.8125,20.4612,pm25,26.77044720612908,µg/m³,2025-10-14T23:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,36336,44.8125,20.4612,pm25,22.036386509198454,µg/m³,2025-10-15T00:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,38368,44.8125,20.4612,pm25,25.038447037572205,µg/m³,2025-10-15T01:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,57483,44.8125,20.4612,pm25,31.375401652556743,µg/m³,2025-10-15T02:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,10769,44.8125,20.4612,pm25,48.917653638188064,µg/m³,2025-10-15T03:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,32811,44.8125,20.4612,pm25,41.72915092656505,µg/m³,2025-10-15T04:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,94067,44.8125,20.4612,pm25,50.63369186353281,µg/m³,2025-10-15T05:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,78588,44.8125,20.4612,pm25,46.871360054303466,µg/m³,2025-10-15T06:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,48700,44.8125,20.4612,pm25,52.20226261094729,µg/m³,2025-10-15T07:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,15871,44.8125,20.4612,pm25,52.468608456754296,µg/m³,2025-10-15T08:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,80935,44.8125,20.4612,pm25,58.558755889590515,µg/m³,2025-10-15T09:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,30033,44.8125,20.4612,pm25,61.45872489171987,µg/m³,2025-10-15T10:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,86787,44.8125,20.4612,pm25,69.21170521214094,µg/m³,2025-10-15T11:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,34610,44.8125,20.4612,pm25,63.015372009542816,µg/m³,2025-10-15T12:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,40481,44.8125,20.4612,pm25,75.71397465775198,µg/m³,2025-10-15T13:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,47258,44.8125,20.4612,pm25,68.5209834180228,µg/m³,2025-10-15T14:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,78462,44.8125,20.4612,pm25,51.27307162185314,µg/m³,2025-10-15T15:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,32696,44.8125,20.4612,pm25,42.26258619798703,µg/m³,2025-10-15T16:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,55554,44.8125,20.4612,pm25,58.36228352783446,µg/m³,2025-10-15T17:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,50160,44.8125,20.4612,pm25,51.130690316592755,µg/m³,2025-10-15T18:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,77150,44.8125,20.4612,pm25,52.75856419876304,µg/m³,2025-10-15T19:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,78586,44.8125,20.4612,pm25,51.73232233581862,µg/m³,2025-10-15T20:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,56182,44.8125,20.4612,pm25,53.676733473805534,µg/m³,2025-10-15T21:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,65487,44.8125,20.4612,pm25,58.36391667009088,µg/m³,2025-10-15T22:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,11291,44.8125,20.4612,pm25,57.66514698006024,µg/m³,2025-10-15T23:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,71325,44.8125,20.4612,pm25,63.48910493851148,µg/m³,2025-10-16T00:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,38460,44.8125,20.4612,pm25,67.37769390129782,µg/m³,2025-10-16T01:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,72423,44.8125,20.4612,pm25,66.45269661573242,µg/m³,2025-10-16T02:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,57616,44.8125,20.4612,pm25,102.10564067798401,µg/m³,2025-10-16T03:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,38312,44.8125,20.4612,pm25,99.84633237720573,µg/m³,2025-10-16T04:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,30782,44.8125,20.4612,pm25,114.3791395484932,µg/m³,2025-10-16T05:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,46351,44.8125,20.4612,pm25,88.05807211500078,µg/m³,2025-10-16T06:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,65791,44.8125,20.4612,pm25,83.14612990086032,µg/m³,2025-10-16T07:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,44043,44.8125,20.4612,pm25,86.94648851970996,µg/m³,2025-10-16T08:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,35389,44.8125,20.4612,pm25,89.7293037821782,µg/m³,2025-10-16T09:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,53665,44.8125,20.4612,pm25,90.2406635016759,µg/m³,2025-10-16T10:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,29377,44.8125,20.4612,pm25,95.51173729682651,µg/m³,2025-10-16T11:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,73304,44.8125,20.4612,pm25,77.5095566216459,µg/m³,2025-10-16T12:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,37299,44.8125,20.4612,pm25,111.24669960660711,µg/m³,2025-10-16T13:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,64528,44.8125,20.4612,pm25,105.01453318721917,µg/m³,2025-10-16T14:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,76301,44.8125,20.4612,pm25,104.404560491106,µg/m³,2025-10-16T15:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,57655,44.8125,20.4612,pm25,82.22165993975702,µg/m³,2025-10-16T16:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,80084,44.8125,20.4612,pm25,84.32526943959846,µg/m³,2025-10-16T17:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,19919,44.8125,20.4612,pm25,61.65155341281698,µg/m³,2025-10-16T18:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,17939,44.8125,20.4612,pm25,57.65348207438064,µg/m³,2025-10-16T19:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,93487,44.8125,20.4612,pm25,54.662572609230466,µg/m³,2025-10-16T20:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,24883,44.8125,20.4612,pm25,55.37996567340081,µg/m³,2025-10-16T21:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,50381,44.8125,20.4612,pm25,56.07164203421752,µg/m³,2025-10-16T22:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,34825,44.8125,20.4612,pm25,60.659442504457935,µg/m³,2025-10-16T23:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,84906,44.8125,20.4612,pm25,47.25050029578428,µg/m³,2025-10-17T00:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,99571,44.8125,20.4612,pm25,51.199387343383826,µg/m³,2025-10-17T01:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,32646,44.8125,20.4612,pm25,51.280639861441806,µg/m³,2025-10-17T02:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,49660,44.8125,20.4612,pm25,65.76884224660297,µg/m³,2025-10-17T03:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,40107,44.8125,20.4612,pm25,51.231234549561556,µg/m³,2025-10-17T04:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,34398,44.8125,20.4612,pm25,49.319428671388955,µg/m³,2025-10-17T05:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,35953,44.8125,20.4612,pm25,38.44594028909667,µg/m³,2025-10-17T06:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,78041,44.8125,20.4612,pm25,53.12801042155577,µg/m³,2025-10-17T07:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,55409,44.8125,20.4612,pm25,52.48445513543508,µg/m³,2025-10-17T08:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,52753,44.8125,20.4612,pm25,55.94099535565294,µg/m³,2025-10-17T09:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,75370,44.8125,20.4612,pm25,62.369563331635796,µg/m³,2025-10-17T10:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,46621,44.8125,20.4612,pm25,59.022825438339574,µg/m³,2025-10-17T11:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,91198,44.8125,20.4612,pm25,53.22804377383987,µg/m³,2025-10-17T12:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,58391,44.8125,20.4612,pm25,61.951423696397804,µg/m³,2025-10-17T13:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,14584,44.8125,20.4612,pm25,82.30891190618333,µg/m³,2025-10-17T14:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,51074,44.8125,20.4612,pm25,74.29932398921123,µg/m³,2025-10-17T15:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,91744,44.8125,20.4612,pm25,57.73086010424095,µg/m³,2025-10-17T16:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,88295,44.8125,20.4612,pm25,57.02949186649474,µg/m³,2025-10-17T17:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,86933,44.8125,20.4612,pm25,52.41887330610222,µg/m³,2025-10-17T18:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,17369,44.8125,20.4612,pm25,56.24224143201562,µg/m³,2025-10-17T19:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,46058,44.8125,20.4612,pm25,60.252538809642935,µg/m³,2025-10-17T20:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,12523,44.8125,20.4612,pm25,57.06299933766823,µg/m³,2025-10-17T21:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,32313,44.8125,20.4612,pm25,59.680258228352045,µg/m³,2025-10-17T22:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
Beograd Monitoring Station,61011,44.8125,20.4612,pm25,75.0513510758483,µg/m³,2025-10-17T23:47:45Z,+01:00,False,True,Beograd Environmental Agency,OpenAQ
