location_name,location_id,latitude,longitude,parameter,value,unit,datetimeUtc,timezone,isMobile,isMonitor,owner_name,provider
Nis Monitoring Station,25989,43.3209,21.8954,pm25,28.3386320045616,µg/m³,2025-10-09T19:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,92916,43.3209,21.8954,pm25,28.170918163100996,µg/m³,2025-10-09T20:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,69189,43.3209,21.8954,pm25,20.114714602637175,µg/m³,2025-10-09T21:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,15991,43.3209,21.8954,pm25,19.590246716178093,µg/m³,2025-10-09T22:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,54031,43.3209,21.8954,pm25,13.259442980833835,µg/m³,2025-10-09T23:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,33215,43.3209,21.8954,pm25,1.1157554028847958,µg/m³,2025-10-10T00:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,88351,43.3209,21.8954,pm25,6.776069790450887,µg/m³,2025-10-10T01:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,53093,43.3209,21.8954,pm25,11.906357150470157,µg/m³,2025-10-10T02:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,81920,43.3209,21.8954,pm25,10.228248591547779,µg/m³,2025-10-10T03:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,46510,43.3209,21.8954,pm25,6.522733182915861,µg/m³,2025-10-10T04:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,48670,43.3209,21.8954,pm25,2.0726593022692317,µg/m³,2025-10-10T05:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,27711,43.3209,21.8954,pm25,14.316157991597354,µg/m³,2025-10-10T06:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,87435,43.3209,21.8954,pm25,15.756946928063426,µg/m³,2025-10-10T07:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,91705,43.3209,21.8954,pm25,38.69675644112621,µg/m³,2025-10-10T08:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,57097,43.3209,21.8954,pm25,31.872080453498146,µg/m³,2025-10-10T09:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,29039,43.3209,21.8954,pm25,25.4521355180275,µg/m³,2025-10-10T10:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,44139,43.3209,21.8954,pm25,22.777903764927967,µg/m³,2025-10-10T11:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,94974,43.3209,21.8954,pm25,16.791200239448685,µg/m³,2025-10-10T12:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,97099,43.3209,21.8954,pm25,18.22823980261668,µg/m³,2025-10-10T13:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,86793,43.3209,21.8954,pm25,16.03537277967037,µg/m³,2025-10-10T14:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,15742,43.3209,21.8954,pm25,15.770224587768922,µg/m³,2025-10-10T15:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,24222,43.3209,21.8954,pm25,24.821712579217074,µg/m³,2025-10-10T16:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,18864,43.3209,21.8954,pm25,16.82341538205931,µg/m³,2025-10-10T17:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,78058,43.3209,21.8954,pm25,18.109513626152758,µg/m³,2025-10-10T18:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,75956,43.3209,21.8954,pm25,28.4585757380158,µg/m³,2025-10-10T19:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,28068,43.3209,21.8954,pm25,20.942265874386962,µg/m³,2025-10-10T20:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,67498,43.3209,21.8954,pm25,18.018917060739682,µg/m³,2025-10-10T21:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,75177,43.3209,21.8954,pm25,14.616862010895893,µg/m³,2025-10-10T22:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,87838,43.3209,21.8954,pm25,16.714576294095032,µg/m³,2025-10-10T23:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,69095,43.3209,21.8954,pm25,13.417359074825633,µg/m³,2025-10-11T00:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,55142,43.3209,21.8954,pm25,13.050777417282081,µg/m³,2025-10-11T01:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,32968,43.3209,21.8954,pm25,8.627272352469998,µg/m³,2025-10-11T02:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,59747,43.3209,21.8954,pm25,5.919267031634716,µg/m³,2025-10-11T03:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,54272,43.3209,21.8954,pm25,4.7506615556572775,µg/m³,2025-10-11T04:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,47208,43.3209,21.8954,pm25,17.590373393234465,µg/m³,2025-10-11T05:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,52475,43.3209,21.8954,pm25,10.462141451900004,µg/m³,2025-10-11T06:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,57001,43.3209,21.8954,pm25,22.6288454119612,µg/m³,2025-10-11T07:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,52405,43.3209,21.8954,pm25,9.827768960885393,µg/m³,2025-10-11T08:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,54514,43.3209,21.8954,pm25,11.661961900856106,µg/m³,2025-10-11T09:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,65714,43.3209,21.8954,pm25,20.947367092894293,µg/m³,2025-10-11T10:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,57176,43.3209,21.8954,pm25,16.834245726879608,µg/m³,2025-10-11T11:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,36974,43.3209,21.8954,pm25,23.377487096373123,µg/m³,2025-10-11T12:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,20258,43.3209,21.8954,pm25,36.60576648930558,µg/m³,2025-10-11T13:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,25028,43.3209,21.8954,pm25,39.319685771954035,µg/m³,2025-10-11T14:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,97893,43.3209,21.8954,pm25,34.78852421669288,µg/m³,2025-10-11T15:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,94156,43.3209,21.8954,pm25,36.60428325002281,µg/m³,2025-10-11T16:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,23618,43.3209,21.8954,pm25,34.23302497815413,µg/m³,2025-10-11T17:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,20956,43.3209,21.8954,pm25,28.02858089165732,µg/m³,2025-10-11T18:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,76804,43.3209,21.8954,pm25,26.553471988211246,µg/m³,2025-10-11T19:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,30338,43.3209,21.8954,pm25,19.86567263293385,µg/m³,2025-10-11T20:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,67067,43.3209,21.8954,pm25,20.375890685828292,µg/m³,2025-10-11T21:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,66694,43.3209,21.8954,pm25,19.03617309399991,µg/m³,2025-10-11T22:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,64346,43.3209,21.8954,pm25,15.26551696726769,µg/m³,2025-10-11T23:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,55844,43.3209,21.8954,pm25,20.295659568790075,µg/m³,2025-10-12T00:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,54801,43.3209,21.8954,pm25,13.315724312420176,µg/m³,2025-10-12T01:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,18099,43.3209,21.8954,pm25,32.48362695260274,µg/m³,2025-10-12T02:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,38465,43.3209,21.8954,pm25,50.73865121372087,µg/m³,2025-10-12T03:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,12053,43.3209,21.8954,pm25,46.89470905287417,µg/m³,2025-10-12T04:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,12742,43.3209,21.8954,pm25,32.526641696709554,µg/m³,2025-10-12T05:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,75999,43.3209,21.8954,pm25,41.87483224397582,µg/m³,2025-10-12T06:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,24656,43.3209,21.8954,pm25,38.00896367458708,µg/m³,2025-10-12T07:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,52640,43.3209,21.8954,pm25,45.51158970401889,µg/m³,2025-10-12T08:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,26182,43.3209,21.8954,pm25,51.099166863068554,µg/m³,2025-10-12T09:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
Nis Monitoring Station,48331,43.3209,21.8954,pm25,48.628548434937876,µg/m³,2025-10-12T10:36:24Z,+01:00,False,True,Nis Environmental Agency,OpenAQ
